code_insee,nom_commune,code_departement,nom_departement,region,population,latitude,longitude,prix_m2_median,prix_m2_median_maison,prix_m2_median_appartement,prix_m2_q1,prix_m2_q3,prix_median_maison,prix_median_appartement,surface_mediane_m2,nb_ventes,nb_maisons,nb_appartements,periode_debut,periode_fin,evolution_prix_pct,part_passoires_dpe_pct,prix_m2_median_departement,fiabilite,url
23001,Ahun,23,Creuse,Nouvelle-Aquitaine,1394,46.0917,2.0241,1010,1000,,920,1190,97000,,86,22,21,1,2023-04-06,2025-12-18,,,1190,indicative,
23008,Aubusson,23,Creuse,Nouvelle-Aquitaine,3018,45.9472,2.1701,1090,1040,1150,930,1410,93000,68500,80,76,54,22,2023-01-26,2025-12-31,0.0,25.5,1190,bonne,https://vendsmonbien.com/prix-immobilier/23-creuse/aubusson/
23015,Azerables,23,Creuse,Nouvelle-Aquitaine,804,46.3584,1.4677,1100,1100,,900,1480,108500,,90,22,22,0,2023-02-24,2025-12-19,,,1190,indicative,
23021,Bénévent-l'Abbaye,23,Creuse,Nouvelle-Aquitaine,769,46.1209,1.6351,990,970,,910,1260,86500,,83,19,18,1,2023-01-11,2025-11-18,,,1190,indicative,
23022,Bétête,23,Creuse,Nouvelle-Aquitaine,389,46.3637,2.0653,1110,1110,,990,1480,80000,,61,15,15,0,2023-04-28,2025-07-30,,,1190,indicative,
23025,Bonnat,23,Creuse,Nouvelle-Aquitaine,1357,46.3225,1.9105,1080,1100,,930,1370,97000,,86,27,26,1,2023-01-26,2025-12-03,,,1190,indicative,
23026,Bord-Saint-Georges,23,Creuse,Nouvelle-Aquitaine,368,46.2481,2.2854,1170,1170,,940,1360,85000,,60,15,15,0,2023-01-23,2025-10-25,,,1190,indicative,
23030,Bourganeuf,23,Creuse,Nouvelle-Aquitaine,2364,45.9472,1.7466,1130,1130,,970,1450,102000,,79,28,26,2,2023-03-15,2025-11-17,,,1190,indicative,
23031,Boussac,23,Creuse,Nouvelle-Aquitaine,1236,46.3482,2.2216,1100,1100,,900,1340,91000,,83,27,27,0,2023-03-04,2025-12-08,,,1190,indicative,
23036,Bussière-Dunoise,23,Creuse,Nouvelle-Aquitaine,1040,46.2561,1.7579,1160,1160,,1030,1650,107500,,84,22,22,0,2023-01-19,2025-11-13,,,1190,indicative,
23056,Châtelus-le-Marcheix,23,Creuse,Nouvelle-Aquitaine,336,46.0095,1.6264,1170,1170,,1080,1480,115000,,95,18,18,0,2023-01-06,2025-12-11,,,1190,indicative,
23061,Chénérailles,23,Creuse,Nouvelle-Aquitaine,728,46.1106,2.1734,1080,1080,,960,1490,88000,,80,15,15,0,2023-07-10,2025-08-23,,,1190,indicative,
23062,Chéniers,23,Creuse,Nouvelle-Aquitaine,554,46.3528,1.8222,1130,1130,,930,1550,78000,,70,17,17,0,2023-08-09,2025-10-29,,,1190,indicative,
23064,Clugnat,23,Creuse,Nouvelle-Aquitaine,652,46.2941,2.1257,1390,1390,,980,1810,100000,,72,19,19,0,2023-01-04,2025-12-18,,,1190,indicative,
23075,Dun-le-Palestel,23,Creuse,Nouvelle-Aquitaine,1096,46.3048,1.6609,1220,1220,,1010,1550,115000,,89,21,21,0,2023-06-06,2025-12-19,,,1190,indicative,
23076,Évaux-les-Bains,23,Creuse,Nouvelle-Aquitaine,1277,46.1779,2.4964,1090,1070,,930,1360,95000,,84,34,32,2,2023-02-24,2025-12-05,,32.0,1190,bonne,https://vendsmonbien.com/prix-immobilier/23-creuse/evaux-les-bains/
23079,Felletin,23,Creuse,Nouvelle-Aquitaine,1577,45.8942,2.187,1130,1140,,950,1440,110000,,90,37,33,4,2023-01-06,2025-12-11,,24.1,1190,bonne,https://vendsmonbien.com/prix-immobilier/23-creuse/felletin/
23087,Fresselines,23,Creuse,Nouvelle-Aquitaine,509,46.3799,1.7045,1170,1170,,930,1320,100000,,86,21,21,0,2023-02-03,2025-11-13,,,1190,indicative,
23192,Fursac,23,Creuse,Nouvelle-Aquitaine,1430,46.1433,1.5176,1290,1290,,1050,1660,144000,,100,32,32,0,2023-02-01,2025-11-25,,37.5,1190,bonne,https://vendsmonbien.com/prix-immobilier/23-creuse/fursac/
23089,Genouillac,23,Creuse,Nouvelle-Aquitaine,721,46.346,1.9959,1420,1430,,1050,1550,96500,,75,17,16,1,2023-08-02,2025-12-10,,,1190,indicative,
23093,Gouzon,23,Creuse,Nouvelle-Aquitaine,1558,46.1901,2.2193,1100,1090,,950,1380,95000,,91,24,23,1,2023-02-20,2025-12-03,,,1190,indicative,
23096,Guéret,23,Creuse,Nouvelle-Aquitaine,12955,46.1585,1.8705,1200,1250,1120,1020,1450,110000,70000,77,327,211,116,2023-01-04,2025-12-29,0.0,17.3,1190,élevée,https://vendsmonbien.com/prix-immobilier/23-creuse/gueret/
